ID,adapt,musique,score
14,0,0,"4,666666667"
14,0,1,"4,25"
11,0,0,"5,083333333"
11,0,1,"4,833333333"
13,0,0,"5,833333333"
13,0,1,"5,916666667"
7,0,0,"6,083333333"
7,0,1,"6,416666667"
18,0,1,"5,166666667"
18,0,0,"4,5"
5,0,1,"5,75"
5,0,0,"5,666666667"
16,0,1,"4,5"
16,0,0,"4,416666667"
19,0,0,"6,083333333"
19,0,1,6
20,0,0,4
20,0,1,"4,083333333"
3,0,1,"5,333333333"
3,0,0,5
6,0,0,5
6,0,1,"4,583333333"
9,0,1,"3,75"
9,0,0,"5,166666667"
21,0,1,"4,5"
21,0,0,"4,166666667"
17,0,1,"5,916666667"
17,0,0,"5,75"